X,Y,tourism,name,name:en,website,addr:street,int_name,phone,addr:housenumber,internet_access,addr:postcode,email,addr:city,internet_access:fee,opening_hours,stars,name:mk,addr:country,description,alt_name,brand,fax,operator,rooms,smoking
20.5772167,41.5323961,hotel,Хотел Косоврасти,Hotel Kosovrasti,,,Hotel Kosovrasti,,,,,,,,,,,,,,,,,,
20.6246531,41.5898039,hotel,Хотел Туто,,www.tutto.com.mk,,Hotel Tutto,042 / 470 999,,yes,,info@tutto.com.mk,,,,,,,,,,042 / 470 999,,,
20.7990804,41.0900379,hotel,Hotel Park,,,,,,,,,,,,,,,,,,,,,,
20.8073612,41.1074146,hotel,Villa Denarius,,,,,,,,,,,,,,,,,,,,,,
20.8046742,41.1099144,hotel,Сити Палас,City Palace,,,,,,,,,,,,,,,,,,,,,
20.8058802,41.1089237,hotel,Tino,,,,,,,,,,,,,,,,,,,,,,
20.8083393,41.1056102,hotel,,,,,,,,,,,,,,,,,,,,,,,
20.8081499,41.1073783,hotel,Hotel Villa Jordan,,http://villa-jordan-mk.book.direct/,,,,,wlan,,,Охрид,no,,,,,,,,,,,
20.8155995,41.1066225,hotel,Hotel International,,,,,,,,,,,,,,,,,,,,,,
20.8059275,41.1120923,hotel,De Lux Apartments Ohrid,,,,,,,,,,,,,,,,,,,,,,
20.8088839,41.1170005,hotel,Hostel Veronika,,,,,,,,,,,,,,,,,,,,,,
20.8136777,41.1186511,hotel,,villa magdalena,,,,,,,,,,,,,,,,,,,,,
22.2438643,41.4092678,hotel,,,,,,,,,,,,,,,,,,,,,,,
22.1008382,41.4950992,hotel,Park,,,,,,,,,,,,,,,,,,,,,,
20.9445463,41.9230708,hotel,Нептун Петрол,Neptun Petrol,,,Neptun Petrol,,,,,,,,,,,,,,,,,,
21.2545453,41.6805838,hotel,,,,,,,,,,,,,,,,,,,,,,,
21.5522332,41.6798004,hotel,,,,,,,,,,,,,,,,,,,,,,,
22.0103655,41.4397684,hotel,UniPalas,,,,,,,,,,,,,,,,,,,,,,
21.9977886,41.4415393,hotel,Уни Палас 2,Uni Palas 2,,,,,,,,,,,,,,,,,,,,,
22.0082491,41.4440951,hotel,Feni,,,,,,,,,,,,,,,,,,,,,,
21.830927,41.6849594,hotel,Македонија,,,,,,,,,,,,,,,,,,,,,,
21.5501596,41.4586797,hotel,Doma,,,,,,,,,,,,,,,,,,,,,,
21.6199181,41.9390026,hotel,Mirror,,http://www.hotelmirror.mk/,,,+389 77 410 444,,,,,,,,,,,,,,,,,
21.0846302,40.9299992,hotel,Hotel MVR,,,,,,,,,,,,,,,,,,,,,,
21.3312283,41.0256315,hotel,Hotel Teatar,,,,,,35,,,,,,,,,,,,,,,,
21.3263622,41.03312,hotel,,,,,,,,,,,,,,,,,,,,,,,
21.3372648,41.0276578,hotel,Tokin House,,www.tokin-house.com,,,,,,,,,,,,,,,,,,,,
22.3948926,41.9045055,hotel,Национал,Nacional,,,Nacional,,,,,,,,,,,,,,,,,,
22.4119196,41.9186826,hotel,Ледер,Leder,http://hotelimakedonija.com.mk/mk/Hotel/82/Hotel-Leder-Kocani,,,,,,,,,,,,,,,,,,,,
22.7381829,41.913516,hotel,Одмаралиште Голак,Resort Golak,,,Odmaraliste Golak,,,,,,,,,,,,,,Gesloten,,,,
20.7942088,41.1114429,hotel,"Apartments by the Lake, Ohrid",Bandzo's Apartments,https://sites.google.com/site/arohrid,Ilindenska,,+38970550590,4,wlan,6000,ar.ohrid@gmail.com,Ohrid,no,24/7,2,,,"Dear travelers,  We invite you to spend your weekend/holiday in Makedonija, Europe.  Enjoying a central location in the old town of Ohrid, directly on the lake shore, the house and a garden-terrace with a private beach, excellent conditions for families. ",,Bandzo's,,Georgi Piruze,4,outside
20.797118,41.112396,hotel,Apartmani Marija,,,Цар Самоил,,+389 75 285 609,34,wlan,6000,,,,,,,,,,,,,,
20.7974286,41.1119443,hotel,Villa St.Nicholas,,,,,,,,,,,,,,,,,,,,,,
20.7978445,41.1125227,hotel,Costa House,,,,,,,,,,,,,,,,,,,,,,
20.7982936,41.1125176,hotel,Villa Harmony,,,,,,,,,,,,,,,,,,,,,,
20.798076,41.112593,hotel,Villa De Lago,,,,,,,,,,,,,,,,,,,,,,
20.7986873,41.1122571,hotel,Aleksandrija,,,,,,,,,,,,,,,,,,,,,,
20.7988026,41.1124995,hotel,Villa Square Ohrid,,,,,,,,,,,,,,,,,,,,,,
20.7985193,41.11257,hotel,Villa Tabana,,,,,,,,,,,,,,,,,,,,,,
20.8016881,41.1121098,hotel,Ривиера,Riviera,,,,,,,,,,,,,,,,,,,,,
20.7997644,41.1181085,hotel,Montenegrin Inn,,,,,,,,,,,,,,,,,,,,,,
