X,Y,amenity,name,name:en,addr:street,addr:postcode,opening_hours,addr:housenumber,smoking,addr:city,internet_access,outdoor_seating,name:mk,int_name,operator,website,addr:country,addr:city:en,addr:housename,addr:street:en,cuisine,phone,email,wheelchair,wifi,takeaway,cocktails,food,name:de
21.4343571,41.9973371,pub,Lounge Bar Divan,,,,,,separated,,,yes,,,Hotel Stone Bridge,,,,,,pizza,,,,,,yes,yes,
21.4349757,41.9974686,pub,Lounge Bar Divan,,,,,,separated,,,yes,,,Hotel Stone Bridge,,,,,,pizza,,,,,,yes,yes,
21.4358564,41.9993401,bar,Менада,Menada,,,,,,,,,,,,,,,,,,,,no,,,,,
21.4353545,41.9999118,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4363148,41.9996587,bar,tavce gravce,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4358296,41.9998288,bar,Rakija Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4367578,41.9999897,bar,beer cafe,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4358622,42.0001818,pub,,Winery Temov,,,,,,,,,,,,,,,,,,,,,,,,,
21.4360203,42.0001822,pub,,Damar,,,,,,,,,,,,,,,,,,,,,,,,,
21.4369808,42.0001669,bar,Клуб Капан Ан,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4378235,42.001291,bar,Syri,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3602983,42.0110921,bar,КАМИН КАМА,Kamin Kama,Лука Геров,1000,Mo-Su 10:00-00:00,,,Скопје,,,КАМИН КАМА,,,,,,,,,,,,,,,,
21.3688665,42.0078535,bar,Hazard Club,,,,,,,,,,,,,,,,,,,,,,,,,,
22.86112,41.70425,pub,Јуовец,Juovec,,,,,,,,,,,,,,,,,,,,,,,,,
22.8525277,41.7103402,bar,Калипсо,Kalipso,,,,,,,,,,,,,,,,,,,,,,,,,
22.443836,41.8539102,bar,,Kafe Bar Rio,,,,,,,wlan,,,,,,,,,,,,,,,,,,
22.5103667,41.8881131,bar,Bife Mal Minhen,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
22.5114929,41.8903339,bar,Bife Mal Minhen,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4216262,41.9951391,bar,,Brown Sugar Café & Bar,,,,34,,,,,,,,,,,,,,,,,,,,,
21.4188403,41.9965743,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4158549,41.9931627,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4239699,41.9981195,pub,Паб Порта,Pub Porta,Булевар Партизански Одреди,1000,"Mo-Th 09:00-00:00, Fr-Sa 09:00-01:00",21/A2-1,isolated,Cкoпje,,yes,,,,,,,,,,,,,,,,,
21.4268797,42.0007066,bar,Thirio,,Булевар Илинден,,,38,,,,,,,,,,,,,,,,,,,,,
21.4264446,42.0068068,bar,Bar Reka,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4273688,42.0062927,bar,Брик бар,BRICK Bar,ул.1732,1000,Mon - Sun: 09:00 - 01:00,бр.4,,Cкoпje,,,,,,,,,,,,,,,,,,,
22.1942983,41.7382806,pub,Square pub,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1957776,41.7389133,bar,Версај,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1958272,41.7389273,bar,Кафе-Бар Марсеј,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1958775,41.7389458,bar,Кафе бар Карма,,,,,,,,wlan,,Кафе бар Карма,,,,,,,,,,,,,,,,
21.1755333,41.2330427,pub,Бифе,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3424348,41.0198474,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3352456,41.0275558,pub,Бурбон Стрит,Bourbon Street,Ленинова,7000,"Su-Th 08:30-00:00; Fr-Sa 08:30-01:00",17,,,wlan,,Бурбон Стрит,,,,,,,,,,,,,,,,
21.3337145,41.0286733,bar,Порта Џез,Porta Jazz,Кирил и Методиј,7000,"Mo-Sa 08:00-01:00; Su 09:00-01:00",12,,,wlan,,Порта Џез,,,,,,,,,047208033,,,,,,,
21.3361237,41.0281914,bar,,Connect Cafe Bar,,,,,,,,,,,,,,,,,,,,,,,,,
21.4204573,41.9989335,pub,Браво,Bravo,,,,,outside,,,,,,,,,,,,,,,,,,,,
21.4211669,42.0004422,bar,# hash bar,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4175412,42.0011509,pub,Кафе Кино Карпош,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4216722,42.0021654,bar,Kaldrma,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4217791,42.0022762,bar,Van Gogh,,,,,,,,,,,,,,,,,,,,,,,,,,
21.423451,42.0002331,bar,Radio bar,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4235498,42.00231,bar,Speakeasy,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3986571,42.0032279,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.9606249,41.9957283,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1921751,41.7368665,pub,Даблин,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4661079,41.9937893,bar,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
21.441755,41.9932121,bar,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
21.441738,41.99462,bar,samocod,,,,,,,,,,,,,,,,,,,,,,,,,,
21.446918,41.991008,bar,Club Colloseum,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4614608,42.002646,bar,Ле Петит,Le Petit,,1000,Mo-Su 08:00-01:00,,,,wlan,,,,,,,,,,,,,,,,,,
21.4542682,41.9901685,bar,Игротека Тиквичка,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7912119,41.1122617,bar,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,
20.7996516,41.113377,bar,,Shilla,,,,,,,wlan,,,,,https://www.facebook.com/ShillaCoffeeBar/,,,,,,,,,,,,,
20.8006878,41.1150114,pub,Irish Pub,,Македонски Просветители,6000,,1,,Охрид,,,,,,,,,,,,,,,,,,,
20.8027449,41.1126013,bar,Connect,,,,,,,,,,,,,,,,,,,,,,,,,,
20.9569188,41.5109384,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.9588224,41.5115516,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.9637148,41.5127808,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.4959759,41.4287815,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7161824,41.632758,pub,Галичко Бачило,,,,,,,,,,,Galičko Bačilo,,,,,,,,,,,,,,,
20.7329999,41.641262,pub,Старото Бачило,,,,,,,,,,,Staroto Bačilo,,,,,,,,,,,,,,,
20.7578648,41.7024216,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,mavrovo bar Longe
20.6798797,41.1742024,bar,Metropolis,,Партизанска,,,,,,wlan,,,,,,,,,,,,,,,,,,
20.6801971,41.176543,pub,Irish Pub The Harp,,,,,,,,,,,,,,,,,,,,,,,,,,
20.6384606,41.0660317,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3430442,41.0115023,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.9080722,41.7932482,bar,Loune Bar Fantastica,,,,24/7,,,,wlan,,,,,,,,,,,,,,,,,,
20.8042407,41.0983462,bar,Ambrosia,,,,,,,,,,,,,,,,,,,,,,,,,,
20.8049971,41.0999773,bar,Kadmo Beach Club,,,,,,,,,,,,,,,,,,,,,,,,,,
20.8059198,41.1010587,bar,Cuba Libre Beach Club,,,,,,,,,,,,,,,,,,,,,,,,,,
20.8066006,41.1080463,bar,Pardise,,,,,,,,,,,,,,,,,,,,,,,,,,
20.8056768,41.1090118,pub,Irish Pub Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1818453,41.9940411,pub,Irish Pub Belfast,,,,,,,,,,,,,www.belfast.com.mk,,,,,,,,,free,,,,
21.4106644,42.0053295,bar,Tesla Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5900747,42.0229302,bar,Hawaii Lounge Bar,,,,,,outside,,,,,,,,,,,,,,,,,,,,
22.7738953,41.9665385,bar,Sky Coffee,Sky Coffee,Светозар Марковски,2320,,б.б.,outside,Делчево,,,,,,,,,,,,,,,,,,,
22.7757541,41.9669895,bar,Apolon,Apolon,Н. Ј. Вапцаров,2320,,,outside,Делчево,,,,,,,,,,,,,,,,,,,
22.7773408,41.9671407,bar,Валиум,Valium Coffee,бул. Македонија,2320,,,outside,Делчево,,,,,,,,,,,,,,,,,,,
20.8003063,41.0925073,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.915975,40.9383195,bar,Beach Summer Club Bar Delirium,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4440848,41.9754573,bar,Игротека Смајли,,,,,,,,,,,,,,,,,,,,,,,,,,
21.7055087,42.1322787,bar,eliba lounge bar,eliba lounge bar,jna,1300,24/7,1300,,,wlan,,eliba lounge bar,,,,,,,,,,,,,,,,
21.704157,42.1373364,bar,Kumanovo,English,Србо Томовиќ,1300,24/7,25,,,wlan,,,,,,,,,,,+38971611422,adrscreen@gmail.com,,,,,,
21.7041267,42.1375281,bar,adra,,Србо Томовиќ,1300,Mo-Fr,25,,,wlan,,,,,http://www.zamunda.net,,,,,,+38970626464,musicbar86@gmail.com,,,,,,
21.7162124,42.1329068,pub,Art Cafe CARIGRAD,,Ilindenska,1300,,31,,,,,,,,,,,Art Cafe CARIGRAD,,,,,,yes,,,,
21.7176862,42.1343433,bar,city,,,,,,,,,,city,,,,,,,,,,,,,,,,
21.7197998,42.1345864,bar,Revolution,,,,,,,,,,,,,,,,,,,,,,,,,,
21.7174092,42.1366097,bar,Касапски круг,,,,,,,,,,,Kasapski krug,,,,,,,,,,,,,,,
21.7190616,42.136391,bar,Клуб,,,,,,,,,,,Klub,,,,,,,,,,,,,,,
21.7192653,42.1366237,pub,W2,,,,,,,,,,,W2,,,,,,,,,,,,,,,
21.7187986,42.1373298,pub,Тунел,,,,,,,,,,,Tunel,,,,,,,,,,,,,,,
21.7266326,42.1355332,bar,Lollipop,,,1300,,,,Kumanovo,,,,,,https://www.facebook.com/clublollipop,,,,,,,,,,,,,
