X,Y,shop,name,name:en,name:mk,addr:street,addr:postcode,opening_hours,addr:city,addr:housenumber,website,operator,phone,wheelchair,int_name,name:sq,organic,addr:country,email,addr:housename,addr:street:en,amenity,level
20.8016076,41.0768608,supermarket,,,,,,,,,,,,,,,,,,,,,
20.8080334,41.1045087,kiosk,,,,,,,,,,,,,,,,,,,,,
20.8114425,41.1093692,supermarket,KAM Market,,,,,,,,,,,,,,,,,,,,
20.8127862,41.1096865,supermarket,Discount Tinex,,,,,,,,,,,,,,,,,,,,
20.8130481,41.1095503,supermarket,Tinex ohrid 2,Tinex ohrid 2,Tinex ohrid 2,,,,,,,,,,,,,,,,,,
20.8153273,41.1094377,supermarket,,Tamaro,,,,,,,,,,,,,,,,,,,
20.808771,41.11176,kiosk,,,,,,,,,,,,,,,,,,,,,
20.8103764,41.1119784,supermarket,,,,,,,,,,,,,,,,,,,,,
20.8092296,41.1127502,supermarket,,,,,,,,,,,,,,,,,,,,,
20.8144718,41.117125,supermarket,ВИПС,VIPS SUPERMARKET,ВИПС,Марко Цепенков,6000,Mo-Su 06:00-22:00,,1,,,046266230,,,,,,doo.vips@gmail.com,,,,
20.8141538,41.1177316,supermarket,Marando ohrid,Marando ohrid,Marando ohrid,,,,,,,,,,,,,,,,,,
20.8223449,41.121722,supermarket,Don Market,,,Ристо Чадо,6000,,Охрид,,,,,,,,,,,,,,
20.81112,41.12286,supermarket,Tinex,,,7 Ноември,,,,,,,,,,,,,,,,,
20.7815067,41.1219875,supermarket,Tamaro,,Tamaro,Сатеска,6000,,Ohrid,,,,,,,,,,,,,,
20.7829591,41.1232307,supermarket,Skor,,Шкор,Гоце Делчев,6000,08:00-02:00,Ohrid,,,,,limited,,,,,,,,,
22.1881355,41.7356982,supermarket,ХИТ Маркет,,ХИТ Маркет,,,,,,,,,,,,,,,,,,
22.1920509,41.7368407,supermarket,Тинекс,,,,,,,,,,,,,,,,,,,,
22.1927503,41.7369788,supermarket,ХИТ Маркет,,,,,,,,,,,,,,,,,,,,
22.1931572,41.7371532,supermarket,KAM,,,,,,,,,,,,,,,,,,,,
22.1941597,41.7344453,supermarket,БоБи,,БоБи,,,,,,,,,,,,,,,,,,
22.1970957,41.7345921,supermarket,,,,,,,,,,,,,,,,,,,,,
22.1965503,41.7366609,supermarket,,,,,,,,,,,,,,,,,,,,,
22.198854,41.7354588,supermarket,КИТ-ГО,,КИД-ГО,,2000,,,,,,,,,,,,,,,,
20.6117918,41.2633703,department_store,Fej-Daf kompani (magacin),Fej-Daf kompani (magacin) labu,Fej-Daf kompani (magacin),labuništa,6336,Sa-Th 07:00-19:00,,,,Flamur Fejzuloski,070232180,,,,,,,,,,
20.5958701,41.2683315,supermarket,Нуредини 2016 (2),Nuredini 2016 (2),Нуредини 2016 (2),,,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,
20.5948705,41.2690711,supermarket,Нуредини 2016,Nuredini 2016,Нуредини 2016,,,,,,,,,,,,,,,,,,
20.6507625,41.1507147,supermarket,Market E-Komerc,,,,,,,,,,,,,,,,,,,,
20.6830475,41.1738364,supermarket,,,,,,,,,,,,,,,,,,,,,
20.6700275,41.1769513,supermarket,Ramstore struga marshal tito,Ramstor struga marshal tito,Ramstore struga marshal tito,,,,,,,,,,,,,,,,,,
20.6725904,41.1770395,supermarket,KAM Stores,,,,,,,,http://kam.com.mk,,,,,,,,,,,,
20.6724827,41.1841703,supermarket,GEGA STRUGA,GEGA STRUGA,GEGA STRUGA,,,,,,,,,,,,,,,,,,
20.6775173,41.180146,supermarket,Tinex struga,Tinex struga,Tinex struga,,,,,,,,,,,,,,,,,,
20.6788926,41.1815124,supermarket,Балкопром,,,,,,,,,,,,,,,,,,,,
20.6807065,41.1810013,supermarket,Tinex struga 1,Tinex struga 1,Tinex struga 1,,,,,,,,,,,,,,,,,,
20.680569,41.1810562,supermarket,Тинекс,,,,,,,,,,,,,,,,,,,,
21.3311181,41.3368744,supermarket,IGA Market,,,Маршал Тито,,Mo-Su 07:00-22:00,,,,,,,,,,,,,,,
21.5390029,41.3387449,supermarket,Viktorija tabako magacin,,Viktorija tabako magacin,,,,,,,,,,,,,,,,,,
21.5400419,41.3384652,supermarket,Aliansa,,Aliansa,,,,,,,,,,,,,,,,,,
21.5587427,41.3386149,supermarket,Zito market,,Zito market,,,,,,,,,,,,,,,,,,
20.9745375,41.8379549,supermarket,Вали Маркет,,,,,,,,,,,,,,,,,,,,
20.9771116,41.8428299,supermarket,Хаџи Кемо,,,,,,,,,,,,,,,,,,,,
20.9771137,41.842915,supermarket,Nusreti Magjik,,,,,,,,,,,,,,,,,,,,
21.5490679,41.3502361,supermarket,Fotura 13,,Fotura 13,,,,,,,,,,,,,,,,,,
21.1759614,41.2327283,supermarket,Supermarket,,,,,,,,,,,,,,,,,,,,
21.3012831,41.0318267,supermarket,Market Andzhela,,,Социјалистичка Револуција,7000,,Битола,,,,,,,,,,,,,,
21.3089047,41.02582,supermarket,MARKET IN,,,Тодор Паница,7000,,,11,,IVA PARTNER,,,IVA PARTNER,,,,,,,,
21.3413952,41.0196161,supermarket,,,,,,,,,,,,,,,,,,,,,
21.3211694,41.024414,supermarket,БАДО,BADO,БАДО,Партизанска,,,,,,,,,,,,,,,,,
21.3228577,41.0320861,supermarket,BEKOM,,,,,,,,,,,,,,,,,,,,
21.3251151,41.0235893,supermarket,ШИК,SHIK,ШИК,Партизанска,,,,,,,,,,,,,,,,,
21.3323992,41.025063,supermarket,Сезам,Sezam,Сезам,Солунска,,,,,,,,,,,,,,,,,
21.3294655,41.0300125,supermarket,ШИК,SHIK,ШИК,Цар Самоил,,,,,,,,,,,,,,,,,
21.3366299,41.0255458,department_store,Cinnamon,,,,,,,,,,,,,,,,,,,,
21.3368232,41.0251856,department_store,Антика,,,,,,,,,,,,,,,,,,,,
21.3437147,41.0158544,supermarket,Беком,Bekom,,,,,,,,,,,,,,,,,,,
21.0080887,41.0847569,kiosk,MitOil,,,,,,,,,Indipend.,,,,,,,,,,fuel,
21.0133908,41.0852775,supermarket,Мицале,Micale,,,,,,,,,,,,,,,,,,,
21.0134783,41.0852468,supermarket,Нов Пазар,New Bazzar,,,,,,,,,,,,,,,,,,,
21.0151314,41.0857428,supermarket,KAM market,,,,,,,,,,,,,,,,,,,,
21.0129214,41.0867663,supermarket,Пазар Ресен,Pazar Resen,Пазар Ресен,,,,,,,,,,,,,,,,,,
21.0230743,41.0830492,kiosk,Макпетрол,Makpetrol,,,,24/7,,,,,,,Makpetrol,,,,,,,fuel,
21.0114252,41.0890885,supermarket,Стар пазар,Old Bazzar,,,,,,,,,,,,,,,,,,,
21.0135953,41.0906153,supermarket,Свислион продавнива,Swisslion Supermarket,,,,,,,,,,,,,,,,,,,
21.0117196,41.0977968,kiosk,Макпетрол,Makpetrol,,,,,,,,,,,Makpetrol,,,,,,,fuel,
20.8603725,41.8782782,supermarket,Маркет,Grocery store,Маркет,,,Mo-Su 09:00-21:00,,,,,,,,Market,,,,,,,
20.9521843,41.5083266,supermarket,Maxi Market,,,,,,,,,,,,,,,,,,,,
20.9511304,41.5115584,supermarket,Atva,,,,,,,,,,+389 45 224 224,,,,,,,,,,
20.9541829,41.5126099,supermarket,,,,,,,,,,,,,,,,,,,,,
20.9563275,41.5128954,kiosk,,,,,,,,,,,,,,,,,,,,,
20.9554181,41.5142492,supermarket,,,,,,,,,,,,,,,,,,,,,
20.95877,41.5119479,kiosk,,,,,,,,,,,,,,,,,,,,,
20.958465,41.5126642,kiosk,,,,,,,,,,,,,,,,,,,,,
20.9597008,41.5138358,supermarket,,,,,,,,,,,,,,,,,,,,,
20.9617477,41.5194929,supermarket,Dukla kicevo,Dukla kicevo,Dukla kicevo,,,,,,,,,,,,,,,,,,
20.9870186,41.4888751,supermarket,,,,,,,,,,,,,,,,,,,,,
20.9870902,41.4889472,supermarket,,,,,,,,,,,,,,,,,,,,,
20.9627409,41.5126349,supermarket,Ramstore,,,,,Mo-Fr 08:00-22:00,,,,,,no,,,,,,,,,
20.9077023,41.7907152,supermarket,Kultura gostivar,Kultura gostivar,Kultura gostivar,,,,,,,,,,,,,,,,,,
20.907855,41.79495,supermarket,boss,,,braka,123,,,1230,,,,,,,,,,boss,,,
21.3165363,41.8005071,kiosk,They do not sell beer here!,,,,,,,,,,,,,,,,,,,,
20.8957656,41.7948862,supermarket,,ETC,,ЈНА,1230,,,318,,,,,,,,,,,,,
20.8840178,41.8300832,supermarket,SELO,,,,,,,,,,,,,,,,,,,,
20.8856596,41.8398833,supermarket,Kiper,,,,,,,,,,,,,,,,,,,,
20.8857735,41.8411753,supermarket,IDEAL,,,,,,,,,,,,,,,,,,,,
20.9153603,41.9223711,supermarket,Кипер,Kiper,,102,1220,Mo-Sa 07:00-22:00,,,,,,,,Kiper,,,,,,,
21.7058314,42.139421,supermarket,STC Supermarket 1,,,,,,,,,,,,,,,,,,,,
21.7077221,42.1386079,supermarket,STC Supermarket 2,,,,,,,,,,,,,,,,,,,,
21.7316379,42.1186471,supermarket,Kima kumanovo,Kima kumanovo,Kima kumanovo,,,,,,,,,,,,,,,,,,
21.7318363,42.1202041,supermarket,Super Srk,,,,,,,,,,,,,,,,,,,,
21.7334993,42.1210556,supermarket,Paket Market,,,,,,,,,,,,,,,,,,,,
21.7171816,42.1298987,supermarket,Goran daniel kumanovo,Goran daniel kumanovo,Goran daniel kumanovo,,,,,,,,,,,,,,,,,,
21.7166312,42.130618,supermarket,Kane kumanovo,Kane kumanovo,Kane kumanovo,,,,,,,,,,,,,,,,,,
21.7295036,42.1244911,supermarket,Mar-bo kumanovo,Mar-bo kumanovo,Mar-bo kumanovo,,,,,,,,,,,,,,,,,,
21.7187075,42.135562,supermarket,Tinex kumanovo,Tinex kumanovo,Tinex kumanovo,,,,,,,,,,,,,,,,,,
21.7192467,42.1364753,kiosk,Трафика,Kiosk,,Leninova,,,,,,,,,,,,,,,,,
21.7280094,42.1336226,supermarket,Kjosar,,,,,,,,,,,,,,,,,,,,
21.7283162,42.1328773,supermarket,Elida,,,,,,,,,,,,,,,,,,,,
21.7272851,42.1371766,supermarket,КАМ,,,,,,,,,,,,KAM,,,,,,,,
21.7248163,42.1388936,supermarket,Му Маркет,,,,,,,,,,,,My Market,,,,,,,,
21.7350929,42.1330452,supermarket,Тинекс,,,,,,,,,,,,Tineks,,,,,,,,
21.7318897,42.1388559,supermarket,Steki prom kumanovo,Steki prom kumanovo,Steki prom kumanovo,,,,,,,,,,,,,,,,,,
21.7555938,42.1060671,supermarket,Nami kom kumanovo,Nami kom kumqnovo,Nami kom kumanovo,,,,,,,,,,,,,,,,,,
21.7414395,42.1448318,supermarket,Centrobiznis 3 kumanovo,Centrobiznis 3 kumanovo,Centrobiznis 3 kumanovo,,,,,,,,,,,,,,,,,,
21.7333698,42.1558735,supermarket,Centrobiznis 2 kumanovo,Centrobiznis 2 kumanovo,Centrobiznis 2 kumanovo,,,,,,,,,,,,,,,,,,
21.7348131,42.1576319,supermarket,Stef kri kumanovo,Stef kri kumanovo,Stef kri kumanovo,,,,,,,,,,,,,,,,,,
21.742493,42.1581571,supermarket,Centrobiznis 1 kumanovo,Centrobiznis 1 kumanovo,Centrobiznis 1 kumanovo,,,,,,,,,,,,,,,,,,
21.449974,42.0528304,supermarket,Орашец,,,,,,,,,,,,,,,,,,,,
21.4512558,42.0560288,supermarket,Кам Маркет,,Кам Маркет,Радишанска,,,,,,,,,,,,,,,,,
22.5901778,42.0226888,kiosk,Kiosque,,,,,,,,,,,,,,,,,,,,
21.411176,41.9903083,supermarket,Tinex,,,,,,,,,,,,,,,,,,,,
21.4119116,41.9967281,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4137932,41.9944797,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4149954,41.9984569,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4129384,41.9994288,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4126908,42.0004371,supermarket,,,,,,,,,,,,,,,,,,,,,
21.4154047,42.003633,supermarket,Рептил маркет,Reptil Market,,,1000,07:00 - 21:30,Cкoпje,,,,,,,,,,,,,,
21.2883984,42.1584766,supermarket,Alba market,,,,,,,,,,,,,,,,,,,,
21.2960705,42.1453835,supermarket,Hit market,,,,,,,,,,,,,,,,,,,,
21.3003579,42.1488866,supermarket,Shell,,,,,,,,,,,,,,,,,,,,
21.2965102,42.150372,supermarket,NTP Atlas,,,,,,,,,,,,,,,,,,,,
21.298663,42.150401,supermarket,Luta,,,,,,,,,,,,,,,,,,,,
21.298336,42.1510536,supermarket,Gimi,,,,,,,,,,,,,,,,,,,,
21.2980138,42.1511208,supermarket,NTP Besa,,,,,,,,,,,,,,,,,,,,
21.1170108,42.0530902,supermarket,heppi dmj,,,,,,,,,,,,,,,,,,,,
21.4555908,41.0416367,supermarket,,,,,,,,,,,,,,,,,,,,,
21.2162734,41.5131208,supermarket,Александрија,Alexandria,,,,,,,,,,,,,,,,,,,
21.2164115,41.5139095,supermarket,Filipos,,,,,,,,,,,,,,,,,,,,
21.9247836,41.4879815,supermarket,,,,,,,,,,,,,,,,,,,,,
22.7795045,41.9700177,supermarket,Коста груп,Kosta group supermarket,Коста груп,,,,,,,,,,,,,,,,,,
22.7774987,41.971385,supermarket,Кит-Го Супермаркет,Kit-go Supermarket,Кит-Го маркет,,,,,,,,,,,,,,,,,,
22.7820669,41.9694518,supermarket,Космос,Kosmos supermarket,Космос,,,,,,,,,,,,,,,,,,
22.7828039,41.9697285,supermarket,Бисер,Biser supermarket,,,,,,,,,,,,,,,,,,,
21.4533122,41.974857,supermarket,Супер Тинекс,Super Tinex,,,,,,,,,,,Super Tineks,,,,,,,,
21.4722684,41.9720378,supermarket,ЗУР Маркет,,,,,,,,,,,,,,,,,,,,
21.4835448,41.9772072,supermarket,Јовче,,,,,,,,,,,,,,,,,,,,
21.4851324,41.9781331,supermarket,Бина,,,,,,,,,,,,,,,,,,,,
21.3941797,41.9953658,kiosk,,,,,,,,,,,,,,,,,,,,,
21.3914204,42.0017143,supermarket,Кам маркет Тафталиџе,Kam Market Taftalidze,,Лондонска,1000,"Mo-Sa 07:30-21:30; Su 07:30-16:00",Скопје,бб,http://www.kam.com.mk,,+389 2 3074733,yes,,,,,,,Londonska,,
21.4394478,41.9993948,supermarket,,,,,,,,,,,,,,,,,,,,,
21.5033827,42.0046326,supermarket,Жито Маркет,,,,,,,,,,,,,,,,,,,,
21.5104508,42.011324,supermarket,Рептил,,,Методија Андонов Ченто,1000,Mo-Sa 07:00-22:00,Скопје,,,,,,,,,,,,,,
21.5139779,42.0277156,supermarket,Грогос,Grigos,Грогос,,,,,,,,,,,,,,,,,,
21.4757273,41.9984456,supermarket,Stokomak Magacin,,Stokomak Magacin,,,,,,,,,,,,,,,,,,
21.4807491,41.9924494,department_store,Бранко Гапо,,,,,,,,,,,,,,,,,,,,
21.4808389,41.9936664,department_store,Боми 10,,,,,,,,,,,,,,,,,,,,
21.4816036,41.9930299,department_store,24 Вести,,,,,,,,,,,,,,,,,,,,
21.482026,41.993612,department_store,Интерфуд,,,,,,,,,,,,,,,,,,,,
21.4826856,41.992571,department_store,МКД,,,,,,,,,,,,,,,,,,,,
21.4838961,41.9916124,department_store,Боми 10 Сервис,,,,,,,,,,,,,,,,,,,,
21.483821,41.9973587,supermarket,Електрометал,Elektrometal,,Перо Наков,1000,Mo-Sa 08:00-21:00,,,http://www.elektroelement.com.mk,,,,,,,,,,,,
21.4623331,42.0026311,supermarket,КАМ Маркет,,,,,,,,,,,,,,,,,,,,
21.4649053,42.0018777,kiosk,,,,,,,,,,,,,,,,,,,,,
21.4610918,42.0110894,supermarket,Zito zelezara,,Zito zelezara,,,,,,,,,,,,,,,,,,
21.4649937,41.9839638,supermarket,Пазарче,,,,,,,,,,,,,,,,,,,,
21.4674517,41.9854287,supermarket,Кам Маркет,Kam Market,Кам Маркет,Јане Сандански,1000,,,79А,,,,,,,,,,,,,
21.4675141,41.9866616,supermarket,Жито Маркет,Zhito Market,Жито Маркет,,,,,,,Тедико,,,,,,,,,,,
21.4691912,41.9898103,supermarket,M Market,,,Булевар Асном,1000,,,,,,,,,,,,,,,,
21.4410582,42.0200283,department_store,,,,Ресенска,,,,3,,,,,,,,,,,,,
21.4416628,42.0248127,supermarket,Кам Маркет,,,,,,,,,,,,,,,,,,,,
21.4383256,41.9813069,supermarket,Рептил,,,,,,,,,,,,,,,,,,,,
21.4403011,41.9823773,supermarket,Веро,Vero,,,,,,,,,,,,,,,,,,,
21.4439477,41.9817349,supermarket,KAM,,,,,,,,,,,,,,,,,,,,
21.4414652,41.9930392,supermarket,Веро 9,Vero 9,,Koco Racin,1000,09:00-22:00,Cкoпje,1,https://vero.com.mk/Marketi/Vero9,Веро,+389 2 3088400,yes,,,,MK,,,,,
21.441556,41.993327,supermarket,DM,,,,,,,,,,,,,,,,,,,,
20.9251687,41.9424416,supermarket,Saufa,Saufa,Saufa,,,,,,,,,,,Saufa,,,,,,,
